Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,juvenile,mature,0.677,0.284,0.400141519251,0.18,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.18,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.18,0.3
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.18,0.3
model,mature,mature,0.727,0.216,0.333047720042,0.45,0.9
graph,mature,mature,0.727,0.216,0.333047720042,0.45,0.9
model,mature,juvenile,0.737,0.378,0.499705829596,0.45,0.9
graph,mature,juvenile,0.711,0.365,0.482369888476,0.45,0.9
model,juvenile,mature,0.773,0.23,0.354516450648,0.45,0.9
graph,juvenile,mature,0.737,0.189,0.300848812095,0.45,0.9
model,juvenile,juvenile,0.936,0.595,0.727524493795,0.45,0.9
graph,juvenile,juvenile,0.927,0.514,0.661315752949,0.45,0.9
model,mature,mature,0.735,0.338,0.463056849953,0.23,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.23,0.5
model,mature,juvenile,0.788,0.554,0.650599105812,0.23,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.23,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.23,0.5
graph,juvenile,mature,0.621,0.243,0.3493125,0.23,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.23,0.5
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.23,0.5
model,mature,mature,0.829,0.459,0.590855590062,0.14,0.3
graph,mature,mature,0.756,0.459,0.5712,0.14,0.3
model,mature,juvenile,0.725,0.676,0.699643112063,0.14,0.3
graph,mature,juvenile,0.698,0.595,0.642397525135,0.14,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.14,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.14,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.14,0.3
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.14,0.3
model,mature,mature,0.813,0.527,0.639479104478,0.10,0.3
graph,mature,mature,0.75,0.527,0.619028974158,0.10,0.3
model,mature,juvenile,0.699,0.689,0.693963976945,0.10,0.3
graph,mature,juvenile,0.667,0.622,0.64371450737,0.10,0.3
model,juvenile,mature,0.694,0.338,0.454596899225,0.10,0.3
graph,juvenile,mature,0.71,0.297,0.418808341609,0.10,0.3
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.10,0.3
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.10,0.3
model,mature,mature,0.719,0.311,0.43419223301,0.27,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.27,0.5
model,mature,juvenile,0.78,0.527,0.629013006886,0.27,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.27,0.5
model,juvenile,mature,0.7,0.284,0.40406504065,0.27,0.5
graph,juvenile,mature,0.643,0.243,0.352706546275,0.27,0.5
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.27,0.5
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.27,0.5
model,mature,mature,0.764,0.568,0.65157957958,0.08,0.5
graph,mature,mature,0.705,0.581,0.637021772939,0.08,0.5
model,mature,juvenile,0.743,0.743,0.743,0.08,0.5
graph,mature,juvenile,0.75,0.689,0.718207088256,0.08,0.5
model,juvenile,mature,0.694,0.338,0.454596899225,0.08,0.5
graph,juvenile,mature,0.71,0.297,0.418808341609,0.08,0.5
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.08,0.5
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.08,0.5
model,mature,mature,0.718,0.689,0.703201137171,0.04,0.5
graph,mature,mature,0.667,0.676,0.671469843634,0.04,0.5
model,mature,juvenile,0.671,0.743,0.705166902405,0.04,0.5
graph,mature,juvenile,0.662,0.716,0.687941944848,0.04,0.5
model,juvenile,mature,0.703,0.351,0.468222011385,0.04,0.5
graph,juvenile,mature,0.697,0.311,0.430093253968,0.04,0.5
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.04,0.5
graph,juvenile,juvenile,0.983,0.77,0.863559612094,0.04,0.5
model,mature,mature,0.773,0.23,0.354516450648,0.45,0.7
graph,mature,mature,0.773,0.23,0.354516450648,0.45,0.7
model,mature,juvenile,0.737,0.378,0.499705829596,0.45,0.7
graph,mature,juvenile,0.711,0.365,0.482369888476,0.45,0.7
model,juvenile,mature,0.773,0.23,0.354516450648,0.45,0.7
graph,juvenile,mature,0.737,0.189,0.300848812095,0.45,0.7
model,juvenile,juvenile,0.957,0.608,0.743585942492,0.45,0.7
graph,juvenile,juvenile,0.951,0.527,0.678182679296,0.45,0.7
model,mature,mature,0.736,0.716,0.725862258953,0.05,0.3
graph,mature,mature,0.699,0.689,0.693963976945,0.05,0.3
model,mature,juvenile,0.684,0.73,0.706251768034,0.05,0.3
graph,mature,juvenile,0.662,0.662,0.662,0.05,0.3
model,juvenile,mature,0.694,0.338,0.454596899225,0.05,0.3
graph,juvenile,mature,0.719,0.311,0.43419223301,0.05,0.3
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.05,0.3
graph,juvenile,juvenile,1.0,0.784,0.878923766816,0.05,0.3
model,mature,mature,0.739,0.23,0.350815273478,0.50,0.9
graph,mature,mature,0.739,0.23,0.350815273478,0.50,0.9
model,mature,juvenile,0.765,0.351,0.481209677419,0.50,0.9
graph,mature,juvenile,0.765,0.351,0.481209677419,0.50,0.9
model,juvenile,mature,0.773,0.23,0.354516450648,0.50,0.9
graph,juvenile,mature,0.737,0.189,0.300848812095,0.50,0.9
model,juvenile,juvenile,0.951,0.527,0.678182679296,0.50,0.9
graph,juvenile,juvenile,0.944,0.459,0.617670705631,0.50,0.9
model,mature,mature,0.759,0.595,0.667067946824,0.09,0.3
graph,mature,mature,0.71,0.595,0.647432950192,0.09,0.3
model,mature,juvenile,0.699,0.689,0.693963976945,0.09,0.3
graph,mature,juvenile,0.701,0.635,0.666369760479,0.09,0.3
model,juvenile,mature,0.694,0.338,0.454596899225,0.09,0.3
graph,juvenile,mature,0.71,0.297,0.418808341609,0.09,0.3
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.09,0.3
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.09,0.3
model,mature,mature,0.786,0.446,0.569084415584,0.11,0.5
graph,mature,mature,0.75,0.446,0.559364548495,0.11,0.5
model,mature,juvenile,0.783,0.73,0.755571711831,0.11,0.5
graph,mature,juvenile,0.754,0.662,0.705011299435,0.11,0.5
model,juvenile,mature,0.688,0.297,0.414895431472,0.11,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.11,0.5
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.11,0.5
graph,juvenile,juvenile,0.982,0.757,0.854944220817,0.11,0.5
model,mature,mature,0.773,0.23,0.354516450648,0.50,0.7
graph,mature,mature,0.773,0.23,0.354516450648,0.50,0.7
model,mature,juvenile,0.765,0.351,0.481209677419,0.50,0.7
graph,mature,juvenile,0.765,0.351,0.481209677419,0.50,0.7
model,juvenile,mature,0.773,0.23,0.354516450648,0.50,0.7
graph,juvenile,mature,0.737,0.189,0.300848812095,0.50,0.7
model,juvenile,juvenile,0.951,0.527,0.678182679296,0.50,0.7
graph,juvenile,juvenile,0.944,0.459,0.617670705631,0.50,0.7
model,mature,mature,0.774,0.324,0.456786885246,0.26,0.3
graph,mature,mature,0.769,0.27,0.399672762271,0.26,0.3
model,mature,juvenile,0.7,0.473,0.564535379369,0.26,0.3
graph,mature,juvenile,0.706,0.486,0.575697986577,0.26,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.26,0.3
graph,juvenile,mature,0.621,0.243,0.3493125,0.26,0.3
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.26,0.3
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.26,0.3
model,mature,mature,0.788,0.351,0.485668129939,0.22,0.3
graph,mature,mature,0.769,0.27,0.399672762271,0.22,0.3
model,mature,juvenile,0.712,0.5,0.587458745875,0.22,0.3
graph,mature,juvenile,0.706,0.486,0.575697986577,0.22,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.22,0.3
graph,juvenile,mature,0.633,0.257,0.365575280899,0.22,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.22,0.3
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.22,0.3
model,mature,mature,0.786,0.446,0.569084415584,0.15,0.5
graph,mature,mature,0.738,0.419,0.534523768366,0.15,0.5
model,mature,juvenile,0.779,0.716,0.746172575251,0.15,0.5
graph,mature,juvenile,0.758,0.635,0.691069633884,0.15,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.15,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.15,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.15,0.5
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.15,0.5
model,mature,mature,0.769,0.405,0.530570698467,0.19,0.5
graph,mature,mature,0.727,0.324,0.448235965747,0.19,0.5
model,mature,juvenile,0.81,0.635,0.711903114187,0.19,0.5
graph,mature,juvenile,0.768,0.581,0.661538917717,0.19,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.19,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.19,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.19,0.5
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.19,0.5
model,mature,mature,0.75,0.405,0.525974025974,0.12,0.9
graph,mature,mature,0.756,0.419,0.539172765957,0.12,0.9
model,mature,juvenile,0.779,0.716,0.746172575251,0.12,0.9
graph,mature,juvenile,0.746,0.635,0.6860391021,0.12,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.12,0.9
graph,juvenile,mature,0.667,0.27,0.38439701174,0.12,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.12,0.9
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.12,0.9
model,mature,mature,0.763,0.392,0.517915151515,0.16,0.9
graph,mature,mature,0.757,0.378,0.504222026432,0.16,0.9
model,mature,juvenile,0.788,0.703,0.743077129443,0.16,0.9
graph,mature,juvenile,0.767,0.622,0.686931605472,0.16,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.16,0.9
graph,juvenile,mature,0.667,0.27,0.38439701174,0.16,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.16,0.9
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.16,0.9
model,mature,mature,0.76,0.257,0.384110127827,0.35,0.7
graph,mature,mature,0.76,0.257,0.384110127827,0.35,0.7
model,mature,juvenile,0.708,0.459,0.556935732648,0.35,0.7
graph,mature,juvenile,0.688,0.446,0.541178130511,0.35,0.7
model,juvenile,mature,0.708,0.23,0.347206823028,0.35,0.7
graph,juvenile,mature,0.667,0.189,0.294539719626,0.35,0.7
model,juvenile,juvenile,0.96,0.649,0.774443753884,0.35,0.7
graph,juvenile,juvenile,0.952,0.541,0.689929002009,0.35,0.7
model,mature,mature,0.8,0.162,0.269438669439,0.70,0.5
graph,mature,mature,0.8,0.162,0.269438669439,0.70,0.5
model,mature,juvenile,0.75,0.203,0.319517313746,0.70,0.5
graph,mature,juvenile,0.75,0.203,0.319517313746,0.70,0.5
model,juvenile,mature,0.762,0.216,0.336588957055,0.70,0.5
graph,juvenile,mature,0.737,0.189,0.300848812095,0.70,0.5
model,juvenile,juvenile,0.882,0.405,0.555104895105,0.70,0.5
graph,juvenile,juvenile,0.871,0.365,0.514425566343,0.70,0.5
model,mature,mature,0.72,0.243,0.363364485981,0.35,0.9
graph,mature,mature,0.72,0.243,0.363364485981,0.35,0.9
model,mature,juvenile,0.708,0.459,0.556935732648,0.35,0.9
graph,mature,juvenile,0.688,0.446,0.541178130511,0.35,0.9
model,juvenile,mature,0.727,0.216,0.333047720042,0.35,0.9
graph,juvenile,mature,0.684,0.176,0.279962790698,0.35,0.9
model,juvenile,juvenile,0.94,0.635,0.757968253968,0.35,0.9
graph,juvenile,juvenile,0.929,0.527,0.672504120879,0.35,0.9
model,mature,mature,0.786,0.446,0.569084415584,0.12,0.7
graph,mature,mature,0.75,0.446,0.559364548495,0.12,0.7
model,mature,juvenile,0.779,0.716,0.746172575251,0.12,0.7
graph,mature,juvenile,0.75,0.649,0.695854181558,0.12,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.12,0.7
graph,juvenile,mature,0.7,0.284,0.40406504065,0.12,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.12,0.7
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.12,0.7
model,mature,mature,1.0,0.203,0.33748960931,0.60,0.3
graph,mature,mature,1.0,0.203,0.33748960931,0.60,0.3
model,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.3
graph,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.3
model,juvenile,mature,0.762,0.216,0.336588957055,0.60,0.3
graph,juvenile,mature,0.737,0.189,0.300848812095,0.60,0.3
model,juvenile,juvenile,0.917,0.446,0.600120322817,0.60,0.3
graph,juvenile,juvenile,0.906,0.392,0.547229583975,0.60,0.3
model,mature,mature,0.786,0.446,0.569084415584,0.16,0.7
graph,mature,mature,0.775,0.419,0.543927973199,0.16,0.7
model,mature,juvenile,0.788,0.703,0.743077129443,0.16,0.7
graph,mature,juvenile,0.77,0.635,0.696014234875,0.16,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.16,0.7
graph,juvenile,mature,0.7,0.284,0.40406504065,0.16,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.16,0.7
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.16,0.7
model,mature,mature,0.731,0.662,0.694791098349,0.05,0.7
graph,mature,mature,0.721,0.662,0.690241503977,0.05,0.7
model,mature,juvenile,0.718,0.757,0.73698440678,0.05,0.7
graph,mature,juvenile,0.671,0.662,0.666469617404,0.05,0.7
model,juvenile,mature,0.694,0.338,0.454596899225,0.05,0.7
graph,juvenile,mature,0.719,0.311,0.43419223301,0.05,0.7
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.05,0.7
graph,juvenile,juvenile,1.0,0.784,0.878923766816,0.05,0.7
model,mature,mature,0.773,0.23,0.354516450648,0.40,0.5
graph,mature,mature,0.773,0.23,0.354516450648,0.40,0.5
model,mature,juvenile,0.737,0.378,0.499705829596,0.40,0.5
graph,mature,juvenile,0.711,0.365,0.482369888476,0.40,0.5
model,juvenile,mature,0.708,0.23,0.347206823028,0.40,0.5
graph,juvenile,mature,0.667,0.189,0.294539719626,0.40,0.5
model,juvenile,juvenile,0.958,0.622,0.754273417722,0.40,0.5
graph,juvenile,juvenile,0.951,0.527,0.678182679296,0.40,0.5
model,mature,mature,0.727,0.324,0.448235965747,0.22,0.9
graph,mature,mature,0.704,0.257,0.376541103018,0.22,0.9
model,mature,juvenile,0.788,0.554,0.650599105812,0.22,0.9
graph,mature,juvenile,0.755,0.5,0.601593625498,0.22,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.22,0.9
graph,juvenile,mature,0.621,0.243,0.3493125,0.22,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.22,0.9
graph,juvenile,juvenile,0.945,0.703,0.806231796117,0.22,0.9
model,mature,mature,0.745,0.554,0.63545804465,0.09,0.7
graph,mature,mature,0.719,0.554,0.625806755695,0.09,0.7
model,mature,juvenile,0.75,0.73,0.739864864865,0.09,0.7
graph,mature,juvenile,0.758,0.676,0.714655509066,0.09,0.7
model,juvenile,mature,0.694,0.338,0.454596899225,0.09,0.7
graph,juvenile,mature,0.71,0.297,0.418808341609,0.09,0.7
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.09,0.7
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.09,0.7
model,mature,mature,0.735,0.338,0.463056849953,0.22,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.22,0.7
model,mature,juvenile,0.788,0.554,0.650599105812,0.22,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.22,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.22,0.7
graph,juvenile,mature,0.633,0.257,0.365575280899,0.22,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.22,0.7
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.22,0.7
model,mature,mature,0.857,0.243,0.378638181818,0.50,0.3
graph,mature,mature,0.857,0.243,0.378638181818,0.50,0.3
model,mature,juvenile,0.703,0.351,0.468222011385,0.50,0.3
graph,mature,juvenile,0.703,0.351,0.468222011385,0.50,0.3
model,juvenile,mature,0.773,0.23,0.354516450648,0.50,0.3
graph,juvenile,mature,0.737,0.189,0.300848812095,0.50,0.3
model,juvenile,juvenile,0.951,0.527,0.678182679296,0.50,0.3
graph,juvenile,juvenile,0.944,0.459,0.617670705631,0.50,0.3
model,mature,mature,0.719,0.311,0.43419223301,0.26,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.26,0.7
model,mature,juvenile,0.78,0.527,0.629013006886,0.26,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.26,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.26,0.7
graph,juvenile,mature,0.621,0.243,0.3493125,0.26,0.7
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.26,0.7
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.26,0.7
model,mature,mature,0.706,0.649,0.676301107011,0.05,0.9
graph,mature,mature,0.71,0.662,0.685160349854,0.05,0.9
model,mature,juvenile,0.724,0.743,0.733376959782,0.05,0.9
graph,mature,juvenile,0.671,0.662,0.666469617404,0.05,0.9
model,juvenile,mature,0.686,0.324,0.440126732673,0.05,0.9
graph,juvenile,mature,0.677,0.284,0.400141519251,0.05,0.9
model,juvenile,juvenile,0.915,0.73,0.812097264438,0.05,0.9
graph,juvenile,juvenile,0.983,0.77,0.863559612094,0.05,0.9
model,mature,mature,0.867,0.176,0.2926021093,0.60,0.9
graph,mature,mature,0.867,0.176,0.2926021093,0.60,0.9
model,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.9
graph,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.9
model,juvenile,mature,0.762,0.216,0.336588957055,0.60,0.9
graph,juvenile,mature,0.737,0.189,0.300848812095,0.60,0.9
model,juvenile,juvenile,0.917,0.446,0.600120322817,0.60,0.9
graph,juvenile,juvenile,0.906,0.392,0.547229583975,0.60,0.9
model,mature,mature,0.718,0.689,0.703201137171,0.06,0.5
graph,mature,mature,0.694,0.676,0.684881751825,0.06,0.5
model,mature,juvenile,0.76,0.77,0.764967320261,0.06,0.5
graph,mature,juvenile,0.704,0.676,0.689715942029,0.06,0.5
model,juvenile,mature,0.694,0.338,0.454596899225,0.06,0.5
graph,juvenile,mature,0.71,0.297,0.418808341609,0.06,0.5
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.06,0.5
graph,juvenile,juvenile,1.0,0.784,0.878923766816,0.06,0.5
model,mature,mature,0.833,0.27,0.407815049864,0.35,0.3
graph,mature,mature,0.833,0.27,0.407815049864,0.35,0.3
model,mature,juvenile,0.694,0.459,0.55255160451,0.35,0.3
graph,mature,juvenile,0.673,0.446,0.536475424486,0.35,0.3
model,juvenile,mature,0.708,0.23,0.347206823028,0.35,0.3
graph,juvenile,mature,0.667,0.189,0.294539719626,0.35,0.3
model,juvenile,juvenile,0.96,0.649,0.774443753884,0.35,0.3
graph,juvenile,juvenile,0.952,0.541,0.689929002009,0.35,0.3
model,mature,mature,0.71,0.297,0.418808341609,0.29,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.29,0.5
model,mature,juvenile,0.78,0.527,0.629013006886,0.29,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.29,0.5
model,juvenile,mature,0.7,0.284,0.40406504065,0.29,0.5
graph,juvenile,mature,0.643,0.243,0.352706546275,0.29,0.5
model,juvenile,juvenile,0.962,0.676,0.794031746032,0.29,0.5
graph,juvenile,juvenile,0.955,0.568,0.712330925804,0.29,0.5
model,mature,mature,0.765,0.351,0.481209677419,0.21,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.21,0.5
model,mature,juvenile,0.788,0.554,0.650599105812,0.21,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.21,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.21,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.21,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.21,0.5
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.21,0.5
model,mature,mature,0.867,0.176,0.2926021093,0.60,0.7
graph,mature,mature,0.867,0.176,0.2926021093,0.60,0.7
model,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.7
graph,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.7
model,juvenile,mature,0.762,0.216,0.336588957055,0.60,0.7
graph,juvenile,mature,0.737,0.189,0.300848812095,0.60,0.7
model,juvenile,juvenile,0.917,0.446,0.600120322817,0.60,0.7
graph,juvenile,juvenile,0.906,0.392,0.547229583975,0.60,0.7
model,mature,mature,0.829,0.459,0.590855590062,0.16,0.3
graph,mature,mature,0.78,0.432,0.55603960396,0.16,0.3
model,mature,juvenile,0.731,0.662,0.694791098349,0.16,0.3
graph,mature,juvenile,0.71,0.595,0.647432950192,0.16,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.16,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.16,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.16,0.3
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.16,0.3
model,mature,mature,0.829,0.459,0.590855590062,0.12,0.3
graph,mature,mature,0.756,0.459,0.5712,0.12,0.3
model,mature,juvenile,0.725,0.676,0.699643112063,0.12,0.3
graph,mature,juvenile,0.692,0.608,0.647286153846,0.12,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.12,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.12,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.12,0.3
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.12,0.3
model,mature,mature,0.735,0.338,0.463056849953,0.25,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.25,0.5
model,mature,juvenile,0.788,0.554,0.650599105812,0.25,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.25,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.25,0.5
graph,juvenile,mature,0.621,0.243,0.3493125,0.25,0.5
model,juvenile,juvenile,0.963,0.703,0.812711884754,0.25,0.5
graph,juvenile,juvenile,0.98,0.649,0.78087170043,0.25,0.5
model,mature,mature,0.786,0.446,0.569084415584,0.13,0.5
graph,mature,mature,0.75,0.446,0.559364548495,0.13,0.5
model,mature,juvenile,0.779,0.716,0.746172575251,0.13,0.5
graph,mature,juvenile,0.758,0.635,0.691069633884,0.13,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.13,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.13,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.13,0.5
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.13,0.5
model,mature,mature,0.811,0.405,0.540222039474,0.20,0.3
graph,mature,mature,0.767,0.311,0.442554730983,0.20,0.3
model,mature,juvenile,0.732,0.554,0.63068118196,0.20,0.3
graph,mature,juvenile,0.714,0.541,0.615576095618,0.20,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.20,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.20,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.20,0.3
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.20,0.3
model,mature,mature,0.786,0.446,0.569084415584,0.17,0.5
graph,mature,mature,0.769,0.405,0.530570698467,0.17,0.5
model,mature,juvenile,0.797,0.689,0.739075370121,0.17,0.5
graph,mature,juvenile,0.77,0.635,0.696014234875,0.17,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.17,0.5
graph,juvenile,mature,0.7,0.284,0.40406504065,0.17,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.17,0.5
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.17,0.5
model,mature,mature,0.767,0.311,0.442554730983,0.28,0.3
graph,mature,mature,0.769,0.27,0.399672762271,0.28,0.3
model,mature,juvenile,0.7,0.473,0.564535379369,0.28,0.3
graph,mature,juvenile,0.706,0.486,0.575697986577,0.28,0.3
model,juvenile,mature,0.7,0.284,0.40406504065,0.28,0.3
graph,juvenile,mature,0.643,0.243,0.352706546275,0.28,0.3
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.28,0.3
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.28,0.3
model,mature,mature,0.8,0.162,0.269438669439,0.75,0.9
graph,mature,mature,0.8,0.162,0.269438669439,0.75,0.9
model,mature,juvenile,0.75,0.203,0.319517313746,0.75,0.9
graph,mature,juvenile,0.75,0.203,0.319517313746,0.75,0.9
model,juvenile,mature,0.75,0.203,0.319517313746,0.75,0.9
graph,juvenile,mature,0.737,0.189,0.300848812095,0.75,0.9
model,juvenile,juvenile,0.879,0.392,0.542199842644,0.75,0.9
graph,juvenile,juvenile,0.867,0.351,0.499699507389,0.75,0.9
model,mature,mature,0.681,0.662,0.671365599404,0.03,0.3
graph,mature,mature,0.667,0.703,0.684527007299,0.03,0.3
